TmStamp,RecNum,BattV_Min,TrackerWM_Avg,Tracker2WM_Avg,ShadowWM_Avg,SunWM_Avg,ShadowbandWM_Avg,DNICalc_Avg,AirTC_Avg,RH,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,BP_mB_Avg,UVA_Avg,UVB_Avg,Batt24V_Min
,,Volts,kW/m^2,,kW/m^2,W/m^2,W/m^2,,Deg C,%,meters/second,Deg,Deg,,W/m,W/m,
TmStamp,RecNum,Min,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,WVc,WVc,WVc,Avg,Avg,Avg,
01/01/2024 00:00:00,5383,13.67,NA,0,NA,NA,0,0,23.08,60.3,4.782,268.4,33.26,1002.36743,13.369605,0,-0.066
01/01/2024 01:00:00,5384,13.63,NA,0,NA,NA,0,0,23.3,59.7,4.386,266.4,35.73,1001.8822,13.34111,0,-0.074
01/01/2024 02:00:00,5385,13.65,NA,0,NA,NA,0,0,23.13,59,5.349,268.1,33.54,1001.36383,13.288412,0,-0.07
01/01/2024 03:00:00,5386,13.7,NA,0,NA,NA,0,0,23.62,53.16,4.609,263.3,33.9,1000.8029,13.23069,0,-0.07
01/01/2024 04:00:00,5387,13.67,NA,0,NA,NA,0,0,23.39,54.95,4.436,263.3,33.54,1000.51825,13.234065,0,-0.062
01/01/2024 05:00:00,5388,13.68,NA,0,NA,NA,0,0,23.6,52,4.436,264.1,34.17,1000.8124,13.262811,0,-0.064
01/01/2024 06:00:00,5389,13.64,NA,0,NA,NA,3.3240108,0,22.86,60.4,4.47,263.9,33.85,1001.2932,13.335204,0,-0.066
01/01/2024 07:00:00,5390,13.67,NA,0,NA,NA,41.71087,NA,23.58,49.09,3.95,263.3,33.12,1001.9275,13.367927,0,-0.066
01/01/2024 08:00:00,5391,13.65,NA,0,NA,NA,53.187054,NA,24.95,45.9,3.821,268.8,33.54,1002.3675,13.63203,0,-0.058
01/01/2024 09:00:00,5392,13.45,NA,0,NA,NA,61.010906,NA,25.81,43.72,4.76,270.1,31.03,1002.61774,13.833124,0,-0.062
01/01/2024 10:00:00,5393,13.67,NA,0,NA,NA,65.16497,NA,27.11,39.99,4.27,271.2,29.61,1002.67474,13.845584,0,-0.062
01/01/2024 11:00:00,5394,13.64,NA,0,NA,NA,67.13695,NA,28.6,37.69,3.703,270.6,34.12,1002.43744,13.843716,0,-0.058
01/01/2024 12:00:00,5395,13.69,NA,0,NA,NA,69.07862,NA,29.86,36.78,3.366,267.9,31.48,1002.21643,13.881053,0,-0.058
