hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,22.34619,1.93958,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,21.76199,1.57667,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,21.32252,1.62333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,20.93663,1.81292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.65906,1.57583,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,1.21667,,1.21667,20.75001,1.63792,0.2,-1.9056658,119.42103,90.0,0.0,,1.21667,0.0,1.3235304,0.0,0.0,1.3235304,0.0,0.0,1.2575353,0.0,1.2323847,1.2323847,21.45904,20.818878,2.6616707,2.648956,2.640675,0.0,0.0,2.6406293,127.253365,0.0,0.0,0.0,0.2595522,2.381077,159.53683,2.273362,2.261995315551758
7,2021-01-01 06:00:00,118.05,,48.13333,22.04127,1.52333,0.2,9.370347,111.438194,80.629654,0.0,,118.05,69.91667,48.13333,0.0,69.91667,48.13333,0.0,51.94135,45.73326,0.0,95.721115,95.721115,1666.7732,27.418253,1564.6183,1549.5798,1493.5728,0.0,0.0,1492.7174,532.432,0.0,0.0,0.0,0.0,1492.7174,532.432,1437.5139,1430.326416015625
8,2021-01-01 07:00:00,322.73334,,72.43333,24.11038,1.98542,0.2,21.255278,104.15247,68.74472,0.0,,322.73334,250.3,72.43333,0.0,250.3,72.43333,0.0,228.29315,68.82159,0.0,291.17245,291.17245,5070.1577,40.126232,5007.018,4715.662,4617.7563,0.0,0.0,4609.176,516.6018,0.0,0.0,0.0,0.0,4609.176,516.6018,4498.883,4476.38818359375
9,2021-01-01 08:00:00,548.31665,,91.2,26.48813,2.15542,0.2,33.522766,97.009865,56.477234,0.0,,548.31665,457.11664,91.2,0.0,457.11664,91.2,0.0,438.5871,86.6525,0.0,514.7348,514.7348,8963.404,54.58281,8967.192,7946.315,7781.523,0.0,0.0,7753.8438,489.1333,0.0,0.0,0.0,0.0,7753.8438,489.1333,7569.6113,7531.76318359375
10,2021-01-01 09:00:00,720.35,,153.4,28.73012,3.51833,0.2,45.98207,89.242935,44.01793,0.0,,720.35,566.95,153.4,0.0,566.95,153.4,0.0,555.8779,145.75102,0.0,687.5964,687.5964,11973.807,64.00313,12010.641,10192.07,9889.9375,0.0,0.0,9842.901,470.45004,0.0,0.0,0.0,0.0,9842.901,470.45004,9597.138,9549.15234375
11,2021-01-01 10:00:00,836.95,,263.26666,30.62545,3.575,0.2,58.39903,79.29398,31.600973,0.0,,836.95,573.68335,263.26666,0.0,573.68335,263.26666,0.0,568.6895,250.1394,0.0,802.45233,802.45233,13973.508,71.68445,14013.713,11451.945,11239.029,0.0,0.0,11171.936,446.08502,0.0,0.0,0.0,0.0,11171.936,446.08502,10876.854,10822.4697265625
12,2021-01-01 11:00:00,682.3833,,418.18332,31.64188,3.84583,0.2,70.22347,62.402943,19.776527,0.0,,682.3833,264.19998,418.18332,0.0,264.19998,418.18332,0.0,263.372,397.33145,0.0,647.4894,647.4894,11274.734,64.36616,11306.804,9579.506,9434.817,0.0,0.0,9390.69,465.73315,0.0,0.0,0.0,0.0,9390.69,465.73315,9153.907,9108.1376953125
13,2021-01-01 12:00:00,800.15,,394.81668,32.58003,4.47,0.2,78.79531,19.355024,11.204691,0.0,,800.15,405.3333,394.81668,0.0,405.3333,394.81668,0.0,404.9395,375.12994,0.0,764.4681,764.4681,13310.426,70.134605,13351.133,10993.395,10788.199,0.0,0.0,10727.831,446.9935,0.0,0.0,0.0,0.0,10727.831,446.9935,10445.745,10393.5166015625
14,2021-01-01 13:00:00,789.26666,,409.23334,33.30115,4.875,0.2,75.63926,314.97537,14.360742,0.0,,789.26666,380.03333,409.23334,0.0,380.03333,409.23334,0.0,379.42044,388.82776,0.0,752.88324,752.88324,13109.929,69.61131,13150.902,10859.8125,10660.616,0.0,0.0,10601.671,451.1539,0.0,0.0,0.0,0.0,10601.671,451.1539,10325.037,10273.4111328125
15,2021-01-01 14:00:00,742.85,,312.06668,33.73919,4.75792,0.2,64.861946,288.27512,25.138054,0.0,,742.85,430.78333,312.06668,0.0,430.78333,312.06668,0.0,428.52985,296.5061,0.0,710.5352,710.5352,12372.599,68.190025,12411.401,10319.684,10053.082,0.0,0.0,10001.599,460.38577,0.0,0.0,0.0,0.0,10001.599,460.38577,9745.889,9697.1591796875
16,2021-01-01 15:00:00,638.6667,,278.31668,33.86454,5.76042,0.2,52.641853,275.66635,37.358147,0.0,,638.6667,360.35,278.31668,0.0,360.35,278.31668,0.0,355.69995,264.439,0.0,607.73615,607.73615,10582.099,62.017197,10607.019,9084.768,8820.869,0.0,0.0,8783.954,469.64154,0.0,0.0,0.0,0.0,8783.954,469.64154,8566.149,8523.318359375
17,2021-01-01 16:00:00,555.25,,208.43333,33.72695,5.17833,0.2,40.164505,267.03033,49.835495,0.0,,555.25,346.81668,208.43333,0.0,346.81668,208.43333,0.0,337.27185,198.04022,0.0,524.60583,524.60583,9134.866,58.680927,9141.257,7951.3936,7754.759,0.0,0.0,7726.815,482.2961,0.0,0.0,0.0,0.0,7726.815,482.2961,7540.3877,7502.68603515625
18,2021-01-01 17:00:00,412.3,,121.46667,33.15013,5.08,0.2,27.766537,259.6798,62.233463,0.0,,412.3,290.83334,121.46667,0.0,290.83334,121.46667,0.0,274.16098,115.40998,0.0,381.77954,381.77954,6648.493,51.391705,6613.351,5939.043,5735.641,0.0,0.0,5721.1553,500.64713,0.0,0.0,0.0,0.0,5721.1553,500.64713,5586.2266,5558.29541015625
19,2021-01-01 18:00:00,224.38333,,64.56667,32.08582,3.93333,0.2,15.647054,252.54916,74.35294,0.0,,224.38333,159.81667,64.56667,0.0,159.81667,64.56667,0.0,138.18007,61.347187,0.0,195.53671,195.53671,3404.8936,41.929028,3315.552,3095.79,3033.2756,0.0,0.0,3029.3997,506.45404,0.0,0.0,0.0,0.0,3029.3997,506.45404,2935.131,2920.455322265625
20,2021-01-01 19:00:00,35.58333,,28.38333,30.63947,3.32833,0.2,4.0061617,245.00685,85.993835,0.0,,35.58333,5.781828,27.423859,0.0,5.781828,27.423859,0.0,1.9329882,26.056423,0.0,27.429625,27.429625,477.62604,32.0588,398.25858,386.99966,379.07275,0.0,0.0,379.00668,486.53183,0.0,0.0,0.0,0.0,379.00668,486.53183,362.74213,360.92840576171875
21,2021-01-01 20:00:00,0.0,,0.0,29.06189,2.94208,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-01-01 21:00:00,0.0,,0.0,27.47073,2.24292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-01-01 22:00:00,0.0,,0.0,25.87958,1.74042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-01-01 23:00:00,0.0,,0.0,24.34431,1.53792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-01-02 00:00:00,0.0,,0.0,23.14114,1.70792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-01-02 01:00:00,0.0,,0.0,21.97397,2.70042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-01-02 02:00:00,0.0,,0.0,21.2142,4.19417,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
