hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,21.31464,1.85167,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,20.88826,1.55167,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,20.57801,1.54833,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,20.3093,1.78792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.12521,1.48875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,1.16667,,1.16667,20.25386,1.53792,0.2,-1.8330954,119.36436,90.0,0.0,,1.16667,0.0,1.2248894,0.0034655086,0.0,1.2248894,0.0,0.0,1.1712602,0.0,1.147835,1.1478298,39.30362,20.318295,3.733575,3.7178879,3.7093585,0.0,0.0,3.709279,118.50216,0.0,0.0,0.0,3.709279,0.0,580.0,0.0,0.0
7,2021-01-01 06:00:00,102.56667,,53.45,21.46334,1.42333,0.2,9.44789,111.38789,78.73821,0.0,,102.56667,58.39735,57.282463,0.30466685,58.39735,57.282463,0.30466685,46.356354,54.775333,0.16035204,99.2662,99.11503,3394.2192,27.05636,3186.4011,3160.1997,2991.905,0.0,0.0,2990.2563,643.3543,0.0,0.0,0.0,0.0,2990.2563,643.3543,2852.5923,2838.3291015625
8,2021-01-01 07:00:00,275.81668,,122.15,23.34498,1.8975,0.2,21.336052,104.105064,66.01678,0.0,,275.81668,171.39467,129.34293,0.81929344,171.39467,129.34293,0.81929344,158.84691,123.681564,0.43120992,277.30048,276.76147,9477.628,38.62918,9340.946,8873.129,8375.013,0.0,0.0,8361.611,636.3804,0.0,0.0,0.0,0.0,8361.611,636.3804,8121.1743,8080.568359375
9,2021-01-01 08:00:00,463.25,,202.03333,25.48376,2.11833,0.2,33.605442,96.96125,53.000553,0.0,,463.25,283.20282,212.62404,1.3760505,283.20282,212.62404,1.3760505,273.7649,203.3173,0.7242419,468.2503,467.6161,16013.288,51.049767,15993.643,14479.979,13578.643,0.0,0.0,13537.5625,590.89984,0.0,0.0,0.0,11.10323,13526.459,593.9738,13254.928,13188.6533203125
10,2021-01-01 09:00:00,611.9,,248.05,27.55444,3.34417,0.2,46.065357,89.18641,39.809883,0.0,,611.9,386.3503,260.734,1.8176045,386.3503,260.734,1.8176045,380.4051,249.32135,0.9566403,618.0694,617.20404,21134.844,59.468285,21192.715,18538.41,17965.793,0.0,0.0,17892.756,585.4839,0.0,0.0,0.0,0.0,17892.756,585.4839,17555.928,17468.146484375
11,2021-01-01 10:00:00,729.1167,,338.58334,29.47595,3.375,0.2,58.48086,79.213356,26.55549,0.0,,729.1167,407.00665,352.36536,2.1657882,407.00665,352.36536,2.1657882,404.45087,336.94144,1.139896,727.6816,727.1433,24898.68,67.021736,24990.08,21159.598,20384.19,0.0,0.0,20284.223,570.3212,0.0,0.0,0.0,138.53557,20145.688,579.9996,19777.662,19678.7734375
12,2021-01-01 11:00:00,890.75,,340.78333,31.38954,3.64583,0.2,70.29723,62.239777,13.393286,0.0,,890.75,562.49457,352.93823,2.645908,562.49457,352.93823,2.645908,561.41095,337.48868,1.3925924,882.2864,881.64984,30189.855,76.355675,30275.68,24555.822,23889.773,0.0,0.0,23736.922,541.5657,0.0,0.0,0.0,2294.3987,21442.521,580.0008,21055.936,20950.654296875
13,2021-01-01 12:00:00,972.5333,,352.41666,33.0894,4.30625,0.2,78.8226,18.90191,7.539407,0.0,,972.5333,621.3705,360.63245,2.8888395,621.3705,360.63245,2.8888395,620.8337,344.84503,1.5204519,947.85516,947.6159,32449.484,79.989265,32513.004,25921.94,25250.576,0.0,0.0,25072.99,531.57874,0.0,0.0,0.0,3760.4727,21312.518,580.0007,20927.758,20823.119140625
14,2021-01-01 13:00:00,959.6667,,333.1,34.38645,4.93625,0.2,75.580185,314.69116,18.618555,0.0,,959.6667,612.9146,334.67456,2.8506203,612.9146,334.67456,2.8506203,611.21295,320.02206,1.5003364,914.0806,913.95154,31294.332,78.34197,31372.209,25215.158,24709.902,0.0,0.0,24537.318,530.93976,0.0,0.0,0.0,3169.3955,21367.922,580.0012,20982.383,20877.470703125
15,2021-01-01 14:00:00,895.5,,291.11667,35.2472,4.82167,0.2,64.78283,288.1644,30.766666,0.0,,895.5,573.4932,288.5541,2.6600177,573.4932,288.5541,2.6600177,568.76544,275.91928,1.4000186,829.1631,829.23987,28392.88,75.33707,28489.764,23227.684,22501.814,0.0,0.0,22368.2,545.6212,0.0,0.0,0.0,1763.308,20604.893,580.0008,20230.209,20129.056640625
16,2021-01-01 15:00:00,772.51666,,231.4,35.66321,5.59917,0.2,52.55896,275.60034,43.554897,0.0,,772.51666,492.2413,226.02351,2.2947047,492.2413,226.02351,2.2947047,482.77713,216.12527,1.2077473,686.108,686.70166,23513.291,67.7081,23593.06,19904.072,18736.408,0.0,0.0,18651.152,573.63293,0.0,0.0,0.0,57.5976,18593.555,579.9996,18248.518,18157.275390625
17,2021-01-01 16:00:00,632.7167,,133.36667,35.66109,4.97833,0.2,40.08132,266.97867,56.538013,0.0,,632.7167,425.05878,127.79216,1.879439,425.05878,127.79216,1.879439,407.53473,122.19454,0.989185,520.10406,520.55005,17823.463,60.6485,17830.639,15483.194,14237.603,0.0,0.0,14190.65,589.0228,0.0,0.0,0.0,0.0,14190.65,589.0228,13917.306,13847.7197265625
18,2021-01-01 17:00:00,446.66666,,78.61667,35.07555,4.90417,0.2,27.684597,259.63232,69.45487,0.0,,446.66666,275.4968,73.718346,1.3267909,275.4968,73.718346,1.3267909,249.66264,70.48852,0.6983156,314.4325,315.10394,10787.926,50.252274,10674.025,9630.236,8277.095,0.0,0.0,8262.111,610.5375,0.0,0.0,0.0,0.0,8262.111,610.5375,8029.377,7989.22998046875
19,2021-01-01 18:00:00,236.16667,,51.58333,33.90609,3.9075,0.2,15.567605,252.50081,82.12059,0.0,,236.16667,92.83148,44.92349,0.7015159,92.83148,44.92349,0.7015159,63.084015,42.95417,0.36922136,104.27926,105.68176,3616.3452,39.232307,3433.3735,3179.199,1738.3685,0.0,0.0,1737.6995,605.89056,0.0,0.0,0.0,0.0,1737.6995,605.89056,1655.2031,1646.9271240234375
20,2021-01-01 19:00:00,28.73333,,23.7,32.29239,3.32833,0.2,3.9306853,244.95396,87.522156,0.0,,28.73333,2.4701774,21.74586,0.08535027,2.4701774,21.74586,0.08535027,2.1416988,20.792639,0.04492149,22.519674,22.548552,771.9074,33.459152,614.24976,594.8447,466.8067,0.0,0.0,466.75253,574.33997,0.0,0.0,0.0,1.1197817,465.63275,581.2625,442.98254,440.76763916015625
21,2021-01-01 20:00:00,0.0,,0.0,30.48342,2.93,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-01-01 21:00:00,0.0,,0.0,28.65105,2.16792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-01-01 22:00:00,0.0,,0.0,26.81868,1.7275,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-01-01 23:00:00,0.0,,0.0,25.00903,1.53792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-01-02 00:00:00,0.0,,0.0,23.32022,1.70792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-01-02 01:00:00,0.0,,0.0,21.62955,2.67625,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-01-02 02:00:00,0.0,,0.0,20.53387,4.02,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-01-02 03:00:00,0.0,,0.0,19.57757,3.86458,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2021-01-02 04:00:00,0.0,,0.0,18.89796,3.70333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-01-02 05:00:00,1.8,,1.8,18.88537,3.13958,0.2,-1.9718491,119.36186,90.0,0.0,,1.8,0.0,1.8724993,0.0053467695,0.0,1.8724993,0.0,0.0,1.790516,0.0,1.7547057,1.7547035,60.085804,18.97695,8.709211,8.662088,8.637455,0.0,0.0,8.63727,179.21974,0.0,0.0,0.0,8.63727,0.0,580.0,0.0,0.0
31,2021-01-02 06:00:00,151.88333,,57.55,20.18947,3.14042,0.2,9.309844,111.37196,78.869576,0.0,,151.88333,112.49516,62.018036,0.4511584,112.49516,62.018036,0.4511584,88.963905,59.303562,0.23745336,145.53482,145.1497,4970.6875,27.764647,4771.621,4719.3423,4393.6807,0.0,0.0,4390.27,653.4109,0.0,0.0,0.0,0.0,4390.27,653.4109,4215.7637,4194.68505859375
32,2021-01-02 07:00:00,348.4,,56.85,22.0094,2.4775,0.2,21.199299,104.07775,66.144745,0.0,,348.4,325.54083,63.46617,1.0348969,325.54083,63.46617,1.0348969,301.50546,60.688442,0.5446862,355.4838,354.34552,12134.641,41.068527,12045.39,11335.12,10731.919,0.0,0.0,10709.901,630.56836,0.0,0.0,0.0,0.0,10709.901,630.56836,10448.978,10396.732421875
33,2021-01-02 08:00:00,581.73334,,63.95,24.03257,2.66042,0.2,33.469868,96.92305,53.124794,0.0,,581.73334,561.7453,70.08211,1.7279966,561.7453,70.08211,1.7279966,542.8893,67.0145,0.90947795,598.597,597.77094,20469.742,55.9183,20517.484,18200.355,17259.873,0.0,0.0,17196.43,599.1575,0.0,0.0,0.0,0.0,17196.43,599.1575,16864.375,16780.0546875
34,2021-01-02 09:00:00,820.1667,,127.75,26.17968,2.88375,0.2,45.930187,89.13721,39.930046,0.0,,820.1667,735.61395,138.49791,2.4362457,735.61395,138.49791,2.4362457,724.2093,132.43591,1.282243,840.76886,839.9916,28763.643,70.53272,28853.293,24020.25,23114.404,0.0,0.0,22982.84,557.9687,0.0,0.0,0.0,791.04065,22191.799,580.00006,21794.871,21685.896484375
35,2021-01-02 10:00:00,932.0333,,186.76666,27.87194,3.42417,0.2,58.344448,79.156876,26.670668,0.0,,932.0333,777.04315,197.87337,2.7685373,777.04315,197.87337,2.7685373,772.1189,189.21211,1.4571345,943.53235,942.63306,32278.926,76.435684,32338.65,26197.574,25199.375,0.0,0.0,25033.97,546.79675,0.0,0.0,0.0,2327.093,22706.877,580.00073,22302.812,22191.298828125
36,2021-01-02 11:00:00,616.9167,,443.18332,28.38939,3.27083,0.2,70.15766,62.219326,13.498625,0.0,,616.9167,177.76273,446.25607,1.8325063,177.76273,446.25607,1.8325063,177.41591,426.72034,0.9644834,592.9987,592.71893,20295.566,59.139626,20343.867,17830.02,17436.871,0.0,0.0,17366.668,585.8276,0.0,0.0,0.0,0.0,17366.668,585.8276,17037.814,16952.625
