hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,22.34619,1.93958,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,21.76199,1.57667,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,21.32252,1.62333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,20.93663,1.81292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.65906,1.57583,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,1.21667,,1.21667,20.75001,1.63792,0.2,-1.9056658,119.42103,89.38203,0.0,,1.21667,0.0,1.282494,0.0022636398,0.0,1.2580011,0.0,0.0,1.202224,0.0,1.1781796,1.1779429,433.5503,20.808964,42.45418,42.29448,42.073593,0.0,0.0,42.072254,120.77384,0.0,0.0,0.0,42.072254,0.0,580.0,0.0,0.0
7,2021-01-01 06:00:00,118.05,,48.13333,22.04127,1.52333,0.2,9.370347,111.438194,82.36325,0.0,,118.05,56.779346,46.412884,0.21963447,45.89049,45.48765,0.07435275,32.70061,43.47718,0.03926793,74.69272,74.87984,27560.92,25.859777,25424.512,25273.803,20951.775,0.0,0.0,20933.154,573.49567,0.0,0.0,0.0,-181.59998,21114.756,600.41016,20692.459,20678.412109375
8,2021-01-01 07:00:00,322.73334,,72.43333,24.11038,1.98542,0.2,21.255278,104.15247,71.62821,0.0,,322.73334,215.83923,69.83016,0.60045207,192.75914,68.4743,0.20327075,170.19174,65.441284,0.10735342,231.02557,231.42122,85179.914,36.053722,83540.484,79567.016,70546.484,0.0,0.0,70375.11,603.5273,0.0,0.0,0.0,57.017586,70318.09,605.76764,68911.73,68753.90625
9,2021-01-01 08:00:00,548.31665,,91.2,26.48813,2.15542,0.2,33.522766,97.009865,59.19965,0.0,,548.31665,420.34988,90.26111,1.0201545,418.6293,88.47846,0.3453524,398.34583,84.56674,0.18239103,473.43307,473.0451,174094.8,49.55578,173883.42,157895.61,150660.14,0.0,0.0,149924.06,596.22925,0.0,0.0,0.0,273.5486,149650.52,603.802,146657.5,145944.9375
10,2021-01-01 09:00:00,720.35,,153.4,28.73012,3.51833,0.2,45.98207,89.242935,46.5724,0.0,,720.35,537.55023,152.22897,1.3402262,537.55023,149.21329,0.4537061,525.0082,142.61874,0.23961589,654.5092,654.57416,240905.0,58.454712,241619.86,211938.33,204973.86,0.0,0.0,203622.67,587.25085,0.0,0.0,0.0,129.12627,203493.55,589.2799,199423.67,198126.4375
11,2021-01-01 10:00:00,836.95,,263.26666,30.62545,3.575,0.2,58.39903,79.29398,33.95763,0.0,,836.95,554.14386,261.70963,1.5571629,554.14386,256.53607,0.52714556,548.17303,245.19751,0.2784015,777.77594,777.6079,286195.03,65.74805,287217.78,244370.94,236402.72,0.0,0.0,234522.73,567.811,0.0,0.0,0.0,6264.6304,228258.11,586.06195,223692.95,222050.6875
12,2021-01-01 11:00:00,682.3833,,418.18332,31.64188,3.84583,0.2,70.22347,62.402943,22.002316,0.0,,682.3833,258.54575,414.87625,1.2695882,258.54575,406.7357,0.4297931,257.43506,388.74832,0.2269867,633.4822,633.4715,233151.86,59.872623,233852.17,204208.12,196258.92,0.0,0.0,195044.61,584.861,0.0,0.0,0.0,144.80191,194899.81,587.7201,191001.81,189808.890625
13,2021-01-01 12:00:00,800.15,,394.81668,32.58003,4.47,0.2,78.79531,19.355024,13.938917,0.0,,800.15,400.67056,395.676,1.4886956,400.67056,387.88065,0.5039674,400.0436,370.73553,0.2661604,755.6244,755.6455,278119.84,65.23754,279158.78,238204.31,230616.19,0.0,0.0,228846.73,567.26154,0.0,0.0,0.0,5263.029,223583.7,585.1227,219112.03,217530.140625
14,2021-01-01 13:00:00,789.26666,,409.23334,33.30115,4.875,0.2,75.63926,314.97537,14.39499,0.0,,789.26666,378.83777,410.18896,1.468447,378.83777,402.16345,0.49711263,378.1651,384.37772,0.2625402,747.54926,747.5325,275137.75,64.97536,276162.56,235923.58,228231.95,0.0,0.0,226512.42,569.63116,0.0,0.0,0.0,4642.4873,221869.94,585.63116,217432.53,215871.078125
15,2021-01-01 14:00:00,742.85,,312.06668,33.73919,4.75792,0.2,64.861946,288.27512,23.907759,0.0,,742.85,432.69147,316.6927,1.3820878,432.69147,310.49655,0.4678775,430.5334,296.7674,0.24710023,712.9969,712.92505,262403.1,64.12256,263352.56,225789.5,218059.47,0.0,0.0,216507.72,572.76904,0.0,0.0,0.0,3214.0532,213293.66,585.7105,209027.8,207581.859375
16,2021-01-01 15:00:00,638.6667,,278.31668,33.86454,5.76042,0.2,52.641853,275.66635,36.008183,0.0,,638.6667,364.61508,283.19678,1.1882527,360.06067,277.694,0.40225857,355.69266,265.40915,0.2124449,608.88794,608.7678,224066.94,58.628483,224634.89,197003.83,188523.38,0.0,0.0,187387.4,583.1975,0.0,0.0,0.0,423.0144,186964.4,587.30145,183225.11,182092.890625
17,2021-01-01 16:00:00,555.25,,208.43333,33.72695,5.17833,0.2,40.164505,267.03033,48.58152,0.0,,555.25,353.68793,212.81464,1.0330541,345.12784,208.71376,0.34971932,336.202,199.47491,0.18469733,525.14435,525.23334,193328.5,55.735443,193457.6,171471.25,162959.12,0.0,0.0,162117.88,590.65674,0.0,0.0,0.0,96.24757,162021.62,592.1009,158781.19,157914.984375
18,2021-01-01 17:00:00,412.3,,121.46667,33.15013,5.08,0.2,27.766537,259.6798,61.160362,0.0,,412.3,299.50635,125.80661,0.7670927,278.85455,123.41099,0.25968352,263.95004,117.94413,0.1371467,374.3907,374.43896,137817.3,49.046215,137039.53,124386.14,115247.414,0.0,0.0,114773.42,575.3247,0.0,0.0,0.0,2655.7932,112117.63,595.6374,109875.28,109427.5
19,2021-01-01 18:00:00,224.38333,,64.56667,32.08582,3.93333,0.2,15.647054,252.54916,73.12028,0.0,,224.38333,171.48645,68.020836,0.41746983,144.96713,66.757774,0.14132586,130.27484,63.79594,0.07463845,190.26251,190.6173,70175.95,40.69671,68376.71,64009.34,59141.535,0.0,0.0,59013.203,614.8628,0.0,0.0,0.0,0.0,59013.203,614.8628,57832.938,57704.6796875
20,2021-01-01 19:00:00,35.58333,,28.38333,30.63947,3.32833,0.2,4.0061617,245.00685,84.22628,0.0,,35.58333,8.315596,29.115501,0.06620353,6.583253,28.597807,0.022411846,4.5437307,27.325668,0.011836372,31.24361,31.23023,11495.159,32.10432,9632.617,9373.263,9031.773,0.0,0.0,9029.005,593.7353,0.0,0.0,0.0,0.072571896,9028.933,593.84393,8848.354,8845.6640625
21,2021-01-01 20:00:00,0.0,,0.0,29.06189,2.94208,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-01-01 21:00:00,0.0,,0.0,27.47073,2.24292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-01-01 22:00:00,0.0,,0.0,25.87958,1.74042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-01-01 23:00:00,0.0,,0.0,24.34431,1.53792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-01-02 00:00:00,0.0,,0.0,23.14114,1.70792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-01-02 01:00:00,0.0,,0.0,21.97397,2.70042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-01-02 02:00:00,0.0,,0.0,21.2142,4.19417,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
