hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,21.31464,1.85167,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,20.88826,1.55167,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,20.57801,1.54833,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,20.3093,1.78792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.12521,1.48875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,1.16667,,1.16667,20.25386,1.53792,0.2,-1.8330954,119.36436,83.91188,0.0,,1.16667,0.0,1.0693607,0.007035881,0.0,1.0693607,0.0,0.0,1.024902,0.0,1.004404,1.0059414,15.7685,20.31033,1.6252924,1.616581,1.5847591,0.0,0.0,1.5847307,140.14714,0.0,0.0,0.0,1.5847307,0.0,320.0,0.0,0.0
7,2021-01-01 06:00:00,102.56667,,53.45,21.46334,1.42333,0.2,9.44789,111.38789,77.48833,0.0,,102.56667,63.282585,58.829132,0.6185527,63.282585,58.829132,0.6185527,58.96628,56.36541,0.42155442,113.43818,112.7459,1764.8119,27.825546,1684.5146,1645.9192,1599.3428,0.0,0.0,1598.0594,716.24445,0.0,0.0,0.0,0.0,1598.0594,716.24445,1521.2849,1521.131591796875
8,2021-01-01 07:00:00,275.81668,,122.15,23.34498,1.8975,0.2,21.336052,104.105064,69.028564,0.0,,275.81668,144.39944,122.1276,1.6633781,144.39944,122.1276,1.6633781,130.50192,117.01811,1.1336211,243.68059,243.63403,3813.774,36.799713,3753.5854,3506.5903,3401.2844,0.0,0.0,3395.411,690.77313,0.0,0.0,0.0,0.0,3395.411,690.77313,3300.7354,3300.013671875
9,2021-01-01 08:00:00,463.25,,202.03333,25.48376,2.11833,0.2,33.605442,96.96125,56.784607,0.0,,463.25,245.46338,200.86714,2.7937393,245.46338,200.86714,2.7937393,234.13849,192.47237,1.9039819,419.94455,418.4721,6553.4883,48.362915,6529.3384,5856.5376,5624.0444,0.0,0.0,5608.7896,655.08026,0.0,0.0,0.0,0.0,5608.7896,655.08026,5484.463,5482.47021484375
10,2021-01-01 09:00:00,611.9,,248.05,27.55444,3.34417,0.2,46.065357,89.18641,44.23486,0.0,,611.9,341.90717,246.52513,3.6902084,341.90717,246.52513,3.6902084,333.73978,236.2287,2.5149412,561.03375,563.7379,8829.916,56.703705,8834.6045,7661.981,7365.0283,0.0,0.0,7337.9585,629.73663,0.0,0.0,0.0,0.0,7337.9585,629.73663,7192.925,7189.498046875
11,2021-01-01 10:00:00,729.1167,,338.58334,29.47595,3.375,0.2,58.48086,79.213356,31.59174,0.0,,729.1167,366.98132,333.8222,4.397112,366.98132,333.8222,4.397112,362.4243,319.88907,2.996708,671.6039,673.56354,10551.893,64.25516,10574.784,8901.798,8500.918,0.0,0.0,8464.756,620.58093,0.0,0.0,0.0,0.0,8464.756,620.58093,8300.665,8296.1005859375
12,2021-01-01 11:00:00,890.75,,340.78333,31.38954,3.64583,0.2,70.29723,62.239777,21.770014,0.0,,890.75,516.7996,336.43674,5.3718796,516.7996,336.43674,5.3718796,513.4313,322.40393,3.6610293,822.7063,822.5526,12887.317,73.34158,12916.508,10433.338,10019.572,0.0,0.0,9967.025,605.71545,0.0,0.0,0.0,0.0,9967.025,605.71545,9776.7,9770.3681640625
13,2021-01-01 12:00:00,972.5333,,352.41666,33.0894,4.30625,0.2,78.8226,18.90191,22.097235,0.0,,972.5333,582.71906,347.42947,5.865093,582.71906,347.42947,5.865093,580.24963,332.95044,3.997163,898.8533,898.6224,14083.211,77.56445,14108.094,11179.483,10894.771,0.0,0.0,10829.24,590.9308,0.0,0.0,0.0,0.0,10829.24,590.9308,10619.587,10612.1162109375
14,2021-01-01 13:00:00,959.6667,,333.1,34.38645,4.93625,0.2,75.580185,314.69116,23.78729,0.0,,959.6667,588.7801,327.3472,5.7874985,588.7801,327.3472,5.7874985,585.87177,313.7185,3.9442806,885.46387,885.46643,13878.699,76.97201,13904.565,11048.211,10782.1,0.0,0.0,10716.634,588.74805,0.0,0.0,0.0,0.0,10716.634,588.74805,10508.22,10500.9052734375
15,2021-01-01 14:00:00,895.5,,291.11667,35.2472,4.82167,0.2,64.78283,288.1644,28.504738,0.0,,895.5,567.9346,288.93924,5.400526,567.9346,288.93924,5.400526,562.92883,276.92117,3.680552,826.66,827.04456,12963.821,75.23093,12989.921,10384.17,10010.156,0.0,0.0,9947.832,572.14105,0.0,0.0,0.0,0.0,9947.832,572.14105,9747.592,9741.2978515625
16,2021-01-01 15:00:00,772.51666,,231.4,35.66321,5.59917,0.2,52.55896,275.60034,38.23151,0.0,,772.51666,508.48334,232.44598,4.6588454,508.48334,232.44598,4.6588454,499.83127,222.78691,3.175084,711.2774,711.78674,11160.605,68.87869,11179.031,9172.714,8769.241,0.0,0.0,8723.579,600.65735,0.0,0.0,0.0,0.0,8723.579,600.65735,8557.726,8552.8740234375
17,2021-01-01 16:00:00,632.7167,,133.36667,35.66109,4.97833,0.2,40.08132,266.97867,50.0892,0.0,,632.7167,469.23553,136.83266,3.8157487,469.23553,136.83266,3.8157487,453.92032,131.15437,2.600499,575.9217,575.4598,9025.963,63.28427,9022.252,7504.9395,7133.1265,0.0,0.0,7099.8228,607.1642,0.0,0.0,0.0,0.0,7099.8228,607.1642,6961.0337,6957.82373046875
18,2021-01-01 17:00:00,446.66666,,78.61667,35.07555,4.90417,0.2,27.684597,259.63232,62.333977,0.0,,446.66666,345.85385,82.42627,2.6937296,345.85385,82.42627,2.6937296,323.53757,79.009575,1.8358234,396.2953,398.24475,6249.4844,54.25668,6219.662,5287.701,5107.0728,0.0,0.0,5086.088,626.0323,0.0,0.0,0.0,0.0,5086.088,626.0323,4973.994,4972.35498046875
19,2021-01-01 18:00:00,236.16667,,51.58333,33.90609,3.9075,0.2,15.567605,252.50081,72.22123,0.0,,236.16667,199.97925,57.23851,1.4242593,199.97925,57.23851,1.4242593,192.78368,54.868793,0.9706574,243.65068,245.30449,3850.7268,46.2691,3807.0327,3356.5542,3254.7852,0.0,0.0,3245.443,658.5412,0.0,0.0,0.0,0.0,3245.443,658.5412,3156.847,3156.186767578125
20,2021-01-01 19:00:00,28.73333,,23.7,32.29239,3.32833,0.2,3.9306853,244.95396,78.17312,0.0,,28.73333,11.605841,28.636913,0.17328319,11.605841,28.636913,0.17328319,10.739773,27.450207,0.118095495,37.541912,37.254887,584.38086,34.220123,509.68005,489.46896,475.0207,0.0,0.0,474.87546,661.1491,0.0,0.0,0.0,0.0,474.87546,661.1491,443.98242,443.9693603515625
21,2021-01-01 20:00:00,0.0,,0.0,30.48342,2.93,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-01-01 21:00:00,0.0,,0.0,28.65105,2.16792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-01-01 22:00:00,0.0,,0.0,26.81868,1.7275,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-01-01 23:00:00,0.0,,0.0,25.00903,1.53792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-01-02 00:00:00,0.0,,0.0,23.32022,1.70792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-01-02 01:00:00,0.0,,0.0,21.62955,2.67625,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-01-02 02:00:00,0.0,,0.0,20.53387,4.02,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-01-02 03:00:00,0.0,,0.0,19.57757,3.86458,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2021-01-02 04:00:00,0.0,,0.0,18.89796,3.70333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-01-02 05:00:00,1.8,,1.8,18.88537,3.13958,0.2,-1.9718491,119.36186,83.978775,0.0,,1.8,0.0,1.6568471,0.010855328,0.0,1.6568471,0.0,0.0,1.5879467,0.0,1.5561877,1.5580575,24.421785,18.966686,3.876208,3.8498087,3.7869728,0.0,0.0,3.7869058,216.47874,0.0,0.0,0.0,0.8670274,2.9198782,320.00003,2.6513972,2.6513967514038086
31,2021-01-02 06:00:00,151.88333,,57.55,20.18947,3.14042,0.2,9.309844,111.37196,77.55374,0.0,,151.88333,122.72273,63.888046,0.91596854,122.72273,63.888046,0.91596854,114.28086,61.213764,0.62424845,172.5965,173.02002,2707.7163,29.219162,2640.4482,2544.7483,2478.4473,0.0,0.0,2475.0852,711.2722,0.0,0.0,0.0,0.0,2475.0852,711.2722,2384.6309,2384.254150390625
32,2021-01-02 07:00:00,348.4,,56.85,22.0094,2.4775,0.2,21.199299,104.07775,69.16211,0.0,,348.4,273.96738,60.13154,2.101109,273.96738,60.13154,2.101109,247.35333,57.61316,1.4319423,300.27048,301.5288,4718.354,38.227684,4681.7656,4243.6646,4190.509,0.0,0.0,4178.9277,665.3139,0.0,0.0,0.0,0.0,4178.9277,665.3139,4076.0054,4074.905029296875
33,2021-01-02 08:00:00,581.73334,,63.95,24.03257,2.66042,0.2,33.469868,96.92305,56.916798,0.0,,581.73334,486.5572,67.604805,3.5082812,486.5572,67.604805,3.5082812,463.9417,64.78016,2.3909547,520.4906,521.2714,8161.733,51.837734,8147.028,7060.0073,6693.6587,0.0,0.0,6668.2544,628.0424,0.0,0.0,0.0,0.0,6668.2544,628.0424,6532.012,6529.185546875
34,2021-01-02 09:00:00,820.1667,,127.75,26.17968,2.88375,0.2,45.930187,89.13721,44.36635,0.0,,820.1667,650.6589,131.40102,4.9462104,650.6589,131.40102,4.9462104,635.0065,125.91097,3.3709283,749.00256,749.90845,11745.431,65.77617,11744.66,9653.717,9192.21,0.0,0.0,9143.264,586.70624,0.0,0.0,0.0,0.0,9143.264,586.70624,8964.522,8959.19921875
35,2021-01-02 10:00:00,932.0333,,186.76666,27.87194,3.42417,0.2,58.344448,79.156876,31.72578,0.0,,932.0333,700.32153,187.99457,5.6208487,700.32153,187.99457,5.6208487,691.56116,180.14691,3.830706,858.028,854.57526,13387.061,71.89902,13399.307,10833.532,10349.646,0.0,0.0,10290.322,588.578,0.0,0.0,0.0,0.0,10290.322,588.578,10090.081,10083.337890625
36,2021-01-02 11:00:00,616.9167,,443.18332,28.38939,3.27083,0.2,70.15766,62.219326,21.845407,0.0,,616.9167,163.25598,428.0005,3.720463,163.25598,428.0005,3.720463,162.18382,410.15643,2.5355601,563.3783,563.62024,8832.401,57.629982,8846.022,7726.5107,7385.708,0.0,0.0,7359.4717,632.3177,0.0,0.0,0.0,0.0,7359.4717,632.3177,7213.795,7210.34765625
