hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,22.34619,1.93958,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,21.76199,1.57667,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,21.32252,1.62333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,20.93663,1.81292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.65906,1.57583,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,1.21667,,1.21667,20.75001,1.63792,0.2,-1.9056658,119.42103,88.63938,0.0,,1.21667,0.0,1.2820032,0.00046297966,0.0,1.2819431,0.0,0.0,1.2221315,0.0,1.1976888,1.197765,112.62708,20.816942,13.583495,13.519134,13.476994,0.0,0.0,13.476795,166.7947,0.0,0.0,0.0,13.476795,0.0,580.0,0.0,0.0
7,2021-01-01 06:00:00,118.05,,48.13333,22.04127,1.52333,0.2,9.370347,111.438194,80.19948,0.0,,118.05,72.92798,49.537766,0.04492159,72.92798,49.5358,0.04492159,55.10322,47.22494,0.0,100.2816,100.32572,9436.0625,27.676908,8901.89,8781.875,8210.182,0.0,0.0,8206.004,716.3524,0.0,0.0,0.0,0.0,8206.004,716.3524,8033.678,8032.11962890625
8,2021-01-01 07:00:00,322.73334,,72.43333,24.11038,1.98542,0.2,21.255278,104.15247,68.38948,0.0,,322.73334,253.80925,74.34344,0.12280978,253.80925,74.3403,0.12280978,231.97784,70.87212,0.0,296.79297,296.60684,27893.83,40.42515,27563.59,25888.324,24865.158,0.0,0.0,24827.49,702.11646,0.0,0.0,0.0,0.0,24827.49,702.11646,24306.113,24292.8984375
9,2021-01-01 08:00:00,548.31665,,91.2,26.48813,2.15542,0.2,33.522766,97.009865,56.221092,0.0,,548.31665,459.54456,93.4489,0.20865104,459.54456,93.4448,0.20865104,441.1364,89.08522,0.0,519.6172,519.4291,48846.12,54.839027,48870.516,43221.88,41937.895,0.0,0.0,41817.406,661.6401,0.0,0.0,0.0,0.0,41817.406,661.6401,40939.242,40902.0625
10,2021-01-01 09:00:00,720.35,,153.4,28.73012,3.51833,0.2,45.98207,89.242935,43.90287,0.0,,720.35,567.5104,156.15344,0.27411494,567.5104,156.14648,0.27411494,556.4663,148.86151,0.0,691.22125,691.2227,64999.715,64.189156,65197.54,55260.52,53572.273,0.0,0.0,53359.254,635.7005,0.0,0.0,0.0,0.0,53359.254,635.7005,52238.71,52178.3671875
11,2021-01-01 10:00:00,836.95,,263.26666,30.62545,3.575,0.2,58.39903,79.29398,31.716003,0.0,,836.95,572.7177,265.9904,0.31848475,572.7177,265.97833,0.31848475,567.6756,253.56898,0.0,804.8197,804.7682,75677.016,71.80294,75891.695,61970.008,60335.387,0.0,0.0,60043.05,610.4266,0.0,0.0,0.0,0.0,60043.05,610.4266,58782.145,58705.890625
12,2021-01-01 11:00:00,682.3833,,418.18332,31.64188,3.84583,0.2,70.22347,62.402943,20.334805,0.0,,682.3833,263.2584,419.0775,0.25966746,263.2584,419.05832,0.25966746,262.38333,399.50674,0.0,648.6523,648.6514,60995.332,64.42488,61168.383,51804.004,50510.332,0.0,0.0,50318.59,632.9272,0.0,0.0,0.0,0.0,50318.59,632.9272,49261.9,49208.41015625
13,2021-01-01 12:00:00,800.15,,394.81668,32.58003,4.47,0.2,78.79531,19.355024,12.218903,0.0,,800.15,403.30078,396.4723,0.30448124,403.30078,396.45392,0.30448124,402.80536,377.95682,0.0,765.1469,765.1733,71952.03,70.16925,72173.734,59429.734,57592.45,0.0,0.0,57329.855,617.67523,0.0,0.0,0.0,0.0,57329.855,617.67523,56125.93,56056.3984375
14,2021-01-01 13:00:00,789.26666,,409.23334,33.30115,4.875,0.2,75.63926,314.97537,14.954744,0.0,,789.26666,377.67078,409.62564,0.3003398,377.67078,409.6066,0.3003398,376.93976,390.49576,0.0,752.0868,752.06976,70721.17,69.57208,70941.24,58586.285,56951.824,0.0,0.0,56696.074,617.65967,0.0,0.0,0.0,0.0,56696.074,617.65967,55505.457,55437.64453125
15,2021-01-01 14:00:00,742.85,,312.06668,33.73919,4.75792,0.2,64.861946,288.27512,25.76028,0.0,,742.85,427.64783,313.52933,0.28267685,427.64783,313.51465,0.28267685,425.23755,298.88702,0.0,709.6421,709.7212,66736.35,68.15055,66944.52,55670.91,54145.785,0.0,0.0,53918.086,622.16754,0.0,0.0,0.0,0.0,53918.086,622.16754,52785.81,52724.5078125
16,2021-01-01 15:00:00,638.6667,,278.31668,33.86454,5.76042,0.2,52.641853,275.66635,37.876842,0.0,,638.6667,357.36667,279.55185,0.24303196,357.36667,279.5387,0.24303196,352.56744,266.49628,0.0,606.68243,606.84235,57063.047,61.975792,57196.504,48994.88,47598.145,0.0,0.0,47431.465,641.0732,0.0,0.0,0.0,0.0,47431.465,641.0732,46435.406,46387.875
17,2021-01-01 16:00:00,555.25,,208.43333,33.72695,5.17833,0.2,40.164505,267.03033,50.243984,0.0,,555.25,343.5919,209.51936,0.21128939,343.5919,209.5095,0.21128939,333.8858,199.7344,0.0,522.9478,522.9961,49177.26,58.604355,49208.125,42802.65,41220.637,0.0,0.0,41100.67,654.62445,0.0,0.0,0.0,0.0,41100.67,654.62445,40237.56,40201.8359375
18,2021-01-01 17:00:00,412.3,,121.46667,33.15013,5.08,0.2,27.766537,259.6798,62.534836,0.0,,412.3,287.78763,122.8512,0.1568926,287.78763,122.84539,0.1568926,270.96298,117.11376,0.0,380.31522,380.5437,35783.555,51.332657,35591.543,31961.383,30895.623,0.0,0.0,30830.98,670.80206,0.0,0.0,0.0,0.0,30830.98,670.80206,30183.53,30163.43359375
19,2021-01-01 18:00:00,224.38333,,64.56667,32.08582,3.93333,0.2,15.647054,252.54916,74.54597,0.0,,224.38333,157.86041,65.43843,0.08538463,157.86041,65.43533,0.08538463,136.12602,62.382294,0.0,194.53815,194.50581,18290.084,41.877132,17807.027,16626.55,15957.911,0.0,0.0,15941.821,691.98096,0.0,0.0,0.0,0.0,15941.821,691.98096,15607.043,15601.6787109375
20,2021-01-01 19:00:00,35.58333,,28.38333,30.63947,3.32833,0.2,4.0061617,245.00685,86.0725,0.0,,35.58333,5.668234,27.426672,0.0135405315,5.668234,27.425388,0.0135405315,1.8137145,26.145803,0.0,27.400328,27.405869,2577.0293,32.05757,2148.7603,2087.9883,2008.9562,0.0,0.0,2008.6742,659.05804,0.0,0.0,0.0,0.0,2008.6742,659.05804,1966.4921,1966.406982421875
21,2021-01-01 20:00:00,0.0,,0.0,29.06189,2.94208,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-01-01 21:00:00,0.0,,0.0,27.47073,2.24292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-01-01 22:00:00,0.0,,0.0,25.87958,1.74042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-01-01 23:00:00,0.0,,0.0,24.34431,1.53792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-01-02 00:00:00,0.0,,0.0,23.14114,1.70792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-01-02 01:00:00,0.0,,0.0,21.97397,2.70042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-01-02 02:00:00,0.0,,0.0,21.2142,4.19417,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
