hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,23.53315,2.25167,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,22.99663,1.96375,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,22.60377,2.02333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,22.2626,2.20083,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,22.02781,1.88875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,2.65,,2.65,22.13994,1.93792,0.2,-1.6108569,119.43705,90.0,0.0,,2.65,0.0,2.5877824,0.024828436,0.0,2.5877824,0.0,0.0,2.4811487,0.0,2.4315257,2.4315257,70.24697,22.273975,14.071246,14.036569,13.994248,0.0,0.0,13.993703,278.94348,0.0,0.0,0.0,13.993703,0.0,580.0,0.0,0.0
7,2021-01-01 06:00:00,150.18333,,55.71667,23.20632,1.81125,0.2,9.589194,111.34488,90.0,0.0,,150.18333,0.0,42.927414,1.4071008,0.0,42.927414,1.4071008,0.0,41.15852,1.06028,41.374424,41.374424,1195.3302,25.500216,1037.9596,1035.9553,1007.8876,0.0,0.0,1007.4353,698.233,0.0,0.0,0.0,0.0,1007.4353,698.233,949.57434,944.8264770507812
8,2021-01-01 07:00:00,306.41666,,98.93333,24.47529,2.2225,0.2,21.40083,103.92518,90.0,0.0,,306.41666,0.0,64.58388,2.8708856,0.0,64.58388,2.8708856,0.0,61.922592,2.1632724,62.80415,62.80415,1814.4076,27.89275,1644.2906,1626.3131,1567.7625,0.0,0.0,1566.7092,709.3769,0.0,0.0,0.0,0.0,1566.7092,709.3769,1485.7659,1478.3370361328125
9,2021-01-01 08:00:00,474.1,,183.48334,25.8416,2.5175,0.2,33.593937,96.61463,78.94475,0.0,,474.1,100.71755,136.8165,4.441948,100.71755,136.8165,4.441948,79.49147,131.17876,3.3471007,209.73698,209.73698,6059.5073,37.10218,5912.7666,5650.489,5448.8193,0.0,0.0,5436.3315,715.1288,0.0,0.0,0.0,0.0,5436.3315,715.1288,5295.41,5268.93310546875
10,2021-01-01 09:00:00,741.85,,156.7,27.42909,3.83125,0.2,45.970894,88.622185,65.472206,0.0,,741.85,337.85883,130.35411,6.9505568,337.85883,130.35411,6.9505568,314.05908,124.98266,5.23739,435.39355,435.39355,12578.36,49.44859,12545.481,11438.932,11120.932,0.0,0.0,11064.766,686.8832,0.0,0.0,0.0,0.0,11064.766,686.8832,10833.619,10779.4501953125
