hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,22.45353,1.86375,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,21.90528,1.63875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,21.49868,1.63625,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,21.1437,1.81292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.89544,1.57583,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,2.48333,,2.48333,21.04967,1.63792,0.2,-1.7366955,119.24857,88.74143,0.0,,2.48333,0.0,2.505275,0.008461742,0.0,2.4917758,0.0,0.0,2.3841994,0.0,2.3365152,2.3366823,521.2403,21.180246,100.600426,100.25495,99.90322,0.0,0.0,99.899414,260.21075,0.0,0.0,0.0,99.899414,0.0,580.0,0.0,0.0
7,2021-01-01 06:00:00,171.93333,,69.26667,22.51342,1.51125,0.2,9.566739,111.30312,80.28601,0.0,,171.93333,103.57754,70.81304,0.5858486,101.47649,70.41228,0.5858486,80.9468,67.3692,0.3285855,145.67169,145.5736,32478.795,30.695284,31227.676,30384.469,28302.418,0.0,0.0,28255.104,687.9249,0.0,0.0,0.0,0.0,28255.104,687.9249,27358.871,27348.23046875
8,2021-01-01 07:00:00,381.81668,,85.98333,24.40642,1.91042,0.2,21.473408,104.04845,68.115906,0.0,,381.81668,298.8014,90.407074,1.3010088,297.24817,89.89813,1.3010088,272.38214,86.01054,0.7296981,351.93994,351.3508,78374.234,43.798428,77808.375,71939.06,68176.18,0.0,0.0,67898.5,664.6349,0.0,0.0,0.0,0.0,67898.5,664.6349,66448.9,66395.109375
9,2021-01-01 08:00:00,597.31665,,81.93333,26.43468,2.1425,0.2,33.75881,96.93031,54.85099,0.0,,597.31665,529.6195,87.48929,2.0353072,528.89,87.00365,2.0353072,509.0731,83.24388,1.1415447,581.58936,581.55096,129728.62,58.19491,129962.13,113738.195,109890.38,0.0,0.0,109143.72,633.925,0.0,0.0,0.0,0.0,109143.72,633.925,107081.04,106952.546875
10,2021-01-01 09:00:00,857.9,,106.8,28.59262,3.53042,0.2,46.233456,89.17749,41.448048,0.0,,857.9,773.3641,112.870544,2.9232233,773.3641,112.24705,2.9232233,760.0289,107.397415,1.6395512,851.6845,851.27277,189895.39,72.238045,190415.98,157018.9,152110.77,0.0,0.0,150521.05,596.52313,0.0,0.0,0.0,330.9968,150190.06,600.71246,147437.6,147201.453125
11,2021-01-01 10:00:00,950.31665,,139.11667,30.22164,3.65,0.2,58.66332,79.21253,28.087532,0.0,,950.31665,831.55304,144.54533,3.2381256,831.55304,143.74982,3.2381256,825.64355,137.54024,1.8161707,945.7,945.53937,210919.88,78.43714,211293.08,169493.66,166202.7,0.0,0.0,164170.7,573.80334,0.0,0.0,0.0,2184.634,161986.08,586.9036,159042.38,158770.515625
12,2021-01-01 11:00:00,533.1167,,348.38333,30.55849,3.87083,0.2,70.491325,62.159336,15.262027,0.0,,533.1167,187.75539,354.2708,1.8165511,187.75539,352.3274,1.8165511,187.34393,337.11115,1.0188508,514.9645,514.98755,114875.555,56.5565,114928.484,101791.91,99086.22,0.0,0.0,98503.76,642.7338,0.0,0.0,0.0,0.0,98503.76,642.7338,96606.35,96506.3515625
13,2021-01-01 12:00:00,732.4667,,455.23334,30.96763,4.58125,0.2,78.97039,18.147938,7.6760416,0.0,,732.4667,278.30237,459.57037,2.4958198,278.30237,457.05658,2.4958198,278.09494,437.3215,1.399833,702.48,702.48285,156699.23,65.30293,157267.78,134221.45,130398.0,0.0,0.0,129315.0,619.4927,0.0,0.0,0.0,0.0,129315.0,619.4927,126927.54,126755.7578125
