hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,22.22428,1.86375,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,21.71313,1.63875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,21.29888,1.63625,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,20.92462,1.81292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.63039,1.57583,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,0.65,,0.65,20.63017,1.63792,0.2,-2.6113787,119.80405,88.04478,0.0,,0.65,0.0,0.67931306,0.0004573876,0.0,0.6763876,0.0,0.0,0.6462897,0.0,0.6333639,0.63341504,100.30833,20.665565,5.2952304,5.2746286,5.2560706,0.0,0.0,5.2559247,73.879845,0.0,0.0,0.0,5.2559247,0.0,580.0,0.0,0.0
7,2021-01-01 06:00:00,89.28333,,52.76667,21.69934,1.52333,0.2,8.679621,111.84836,82.059074,0.0,,89.28333,33.144646,52.027374,0.06282629,27.909494,51.758015,0.06282629,20.367056,49.475433,0.0122650815,68.45766,68.29798,10813.86,25.535872,9915.173,9849.687,9002.392,0.0,0.0,8996.952,696.0777,0.0,0.0,0.0,0.0,8996.952,696.0777,8808.016,8803.9130859375
8,2021-01-01 07:00:00,256.1,,127.6,23.54069,1.98542,0.2,20.589794,104.630424,70.154236,0.0,,256.1,123.09778,127.06681,0.18021071,123.09778,126.449936,0.18021071,110.982956,120.85475,0.03518112,227.23543,227.14154,35966.72,36.034542,35212.277,33704.645,32299.64,0.0,0.0,32239.498,695.8313,0.0,0.0,0.0,0.0,32239.498,695.8313,31562.469,31518.228515625
9,2021-01-01 08:00:00,441.25,,193.28333,25.7098,2.15542,0.2,32.89222,97.60627,57.848595,0.0,,441.25,241.20906,193.10054,0.31049582,241.20906,192.1818,0.31049582,230.43903,183.66962,0.06061565,405.88586,405.89325,64273.11,47.86381,64005.324,58602.605,56737.42,0.0,0.0,56537.87,668.5241,0.0,0.0,0.0,42.097168,56495.773,669.4311,55309.363,55178.359375
10,2021-01-01 09:00:00,588.15,,276.13333,27.82715,3.53042,0.2,45.40016,90.041794,45.341354,0.0,,588.15,305.89105,276.09756,0.41386542,305.89105,274.8024,0.41386542,299.27518,262.62238,0.08079568,550.7388,550.6145,87189.22,56.05759,87309.44,77441.76,75219.984,0.0,0.0,74851.945,649.53357,0.0,0.0,0.0,620.55536,74231.39,653.10974,72672.53,72450.3359375
11,2021-01-01 10:00:00,704.6333,,336.03333,29.80018,3.65,0.2,57.89392,80.478325,32.890537,0.0,,704.6333,363.2136,336.40054,0.49583158,363.2136,334.8407,0.49583158,359.61682,319.99136,0.096797295,666.11084,666.15607,105490.34,63.769203,105840.89,90899.32,88477.31,0.0,0.0,87929.555,625.59045,0.0,0.0,0.0,1716.8044,86212.75,631.60846,84402.28,84105.765625
12,2021-01-01 11:00:00,874.4167,,343.01666,31.80337,3.87083,0.2,69.879456,64.493996,21.214525,0.0,,874.4167,525.68024,344.30493,0.61530364,525.68024,342.7265,0.61530364,523.6673,327.51923,0.12012088,834.2805,834.1437,132089.6,73.91327,132534.73,108773.31,105510.39,0.0,0.0,104644.61,594.36066,0.0,0.0,0.0,4799.585,99845.03,607.4724,97748.28,97349.2734375
13,2021-01-01 12:00:00,962.73334,,355.1,33.59374,4.58125,0.2,78.95576,23.249012,13.052502,0.0,,962.73334,603.1021,357.1474,0.6774497,603.1021,355.53183,0.6774497,602.30225,339.74652,0.13225317,923.3374,923.34296,146216.86,78.72404,146563.27,117590.62,114848.47,0.0,0.0,113780.22,582.43964,0.0,0.0,0.0,6444.352,107335.87,600.1879,105081.81,104621.7265625
14,2021-01-01 13:00:00,952.7,,346.56668,34.94539,5.125,0.2,76.33434,315.9046,13.513287,0.0,,952.7,603.5103,349.39844,0.6703895,603.5103,347.83957,0.6703895,602.4962,332.38596,0.13087486,916.31274,916.46686,145132.3,78.644966,145482.42,116736.04,113903.484,0.0,0.0,112845.234,582.61755,0.0,0.0,0.0,5690.2485,107154.984,600.3438,104904.73,104445.7265625
15,2021-01-01 14:00:00,892.0,,304.95,35.81858,4.88375,0.2,65.54225,288.23447,23.726244,0.0,,892.0,586.4202,308.35114,0.62767655,586.4202,306.99362,0.62767655,583.4952,293.34644,0.12253635,859.42487,859.3729,136089.64,77.24805,136508.17,110254.37,107767.2,0.0,0.0,106830.9,586.06323,0.0,0.0,0.0,4429.9746,102400.93,601.8482,100250.51,99829.8828125
16,2021-01-01 15:00:00,771.4,,243.76666,36.20217,5.86042,0.2,53.26272,275.60034,36.007298,0.0,,771.4,529.0466,247.81677,0.54281354,528.4162,246.73813,0.54281354,521.9541,235.76395,0.10596921,742.6675,742.87726,117645.3,70.458855,118059.95,98333.28,95173.44,0.0,0.0,94482.24,606.8645,0.0,0.0,0.0,1525.0583,92957.19,611.6214,91005.086,90657.2421875
17,2021-01-01 16:00:00,636.48334,,147.51666,36.1321,5.26625,0.2,40.72748,267.0494,48.58186,0.0,,636.48334,492.67715,151.32065,0.44787627,490.87006,150.67216,0.44787627,478.06924,143.96611,0.087435365,609.68036,610.0662,96618.91,65.035324,96852.94,82545.53,79901.734,0.0,0.0,79422.83,619.24756,0.0,0.0,0.0,599.67365,78823.15,622.74615,77167.87,76916.65625
