hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,22.34619,1.93958,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,21.76199,1.57667,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,21.32252,1.62333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,20.93663,1.81292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,20.65906,1.57583,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,1.21667,,1.21667,20.75001,1.63792,0.2,-1.9056658,119.42103,89.359055,0.0,,1.21667,0.0,1.2974225,0.00046297966,0.0,1.2974225,0.0,0.0,1.2360375,0.0,1.2113168,1.2113168,139.97551,20.8177,14.0349245,13.982239,13.943717,0.0,0.0,13.943507,139.50317,0.0,0.0,0.0,13.943507,0.0,580.0,0.0,0.0
7,2021-01-01 06:00:00,118.05,,48.13333,22.04127,1.52333,0.2,9.370347,111.438194,77.53753,0.0,,118.05,92.669556,53.647293,0.04492159,92.669556,53.647293,0.04492159,75.83188,51.109074,0.0,124.40214,124.40214,14375.003,29.029364,13679.335,13474.397,13003.319,0.0,0.0,12996.58,725.19543,0.0,0.0,0.0,0.0,12996.58,725.19543,12534.717,12529.919921875
8,2021-01-01 07:00:00,322.73334,,72.43333,24.11038,1.98542,0.2,21.255278,104.15247,65.20179,0.0,,322.73334,289.58582,79.147194,0.12280978,289.58582,79.147194,0.12280978,269.54324,75.4025,0.0,338.0468,338.0468,39062.742,42.704544,38725.68,36247.09,35102.355,0.0,0.0,35050.5,704.3502,0.0,0.0,0.0,0.0,35050.5,704.3502,34278.168,34242.296875
9,2021-01-01 08:00:00,548.31665,,91.2,26.48813,2.15542,0.2,33.522766,97.009865,52.541466,0.0,,548.31665,503.4011,97.995445,0.20865104,503.4011,97.995445,0.20865104,487.18576,93.35898,0.0,568.93384,568.93384,65741.05,57.541042,65865.234,58108.68,55956.785,0.0,0.0,55810.695,669.7669,0.0,0.0,0.0,0.0,55810.695,669.7669,54712.21,54620.95703125
10,2021-01-01 09:00:00,720.35,,153.4,28.73012,3.51833,0.2,45.98207,89.242935,39.715153,0.0,,720.35,606.4549,162.78073,0.27411494,606.4549,162.78073,0.27411494,597.3581,155.07909,0.0,737.3884,737.3884,85209.36,66.55741,85527.234,72589.39,70530.83,0.0,0.0,70277.41,640.5091,0.0,0.0,0.0,0.0,70277.41,640.5091,68933.28,68787.8046875
11,2021-01-01 10:00:00,836.95,,263.26666,30.62545,3.575,0.2,58.39903,79.29398,26.927328,0.0,,836.95,600.5339,274.0872,0.31848475,600.5339,274.0872,0.31848475,596.88257,261.1193,0.0,840.8418,840.8418,97165.66,73.64871,97490.26,80122.48,77724.88,0.0,0.0,77399.414,621.3644,0.0,0.0,0.0,0.0,77399.414,621.3644,75942.14,75767.09375
12,2021-01-01 11:00:00,682.3833,,418.18332,31.64188,3.84583,0.2,70.22347,62.402943,14.782351,0.0,,682.3833,271.46674,425.89825,0.25966746,271.46674,425.89825,0.25966746,271.00214,405.7477,0.0,663.21484,663.21484,76637.28,65.16092,76893.97,65661.19,63571.34,0.0,0.0,63369.043,645.72943,0.0,0.0,0.0,0.0,63369.043,645.72943,62157.043,62039.4140625
13,2021-01-01 12:00:00,800.15,,394.81668,32.58003,4.47,0.2,78.79531,19.355024,8.086606,0.0,,800.15,409.10068,400.37347,0.30448124,409.10068,400.37347,0.30448124,408.89523,381.43057,0.0,774.5193,774.5193,89496.086,70.62837,89828.45,74862.07,72819.87,0.0,0.0,72539.9,628.8022,0.0,0.0,0.0,0.0,72539.9,628.8022,71169.96,71015.4453125
14,2021-01-01 13:00:00,789.26666,,409.23334,33.30115,4.875,0.2,75.63926,314.97537,16.36971,0.0,,789.26666,376.38885,408.8665,0.3003398,376.38885,408.8665,0.3003398,375.59372,389.52176,0.0,749.8132,749.8132,86645.31,69.46325,86969.69,72863.44,70111.625,0.0,0.0,69858.2,636.9176,0.0,0.0,0.0,0.0,69858.2,636.9176,68528.914,68386.359375
15,2021-01-01 14:00:00,742.85,,312.06668,33.73919,4.75792,0.2,64.861946,288.27512,28.693504,0.0,,742.85,417.4184,308.9455,0.28267685,417.4184,308.9455,0.28267685,414.49667,294.32834,0.0,694.6485,694.6485,80268.68,67.41975,80557.81,68116.984,66290.05,0.0,0.0,66066.13,639.2714,0.0,0.0,0.0,0.0,66066.13,639.2714,64810.38,64681.9609375
16,2021-01-01 15:00:00,638.6667,,278.31668,33.86454,5.76042,0.2,52.641853,275.66635,41.50761,0.0,,638.6667,339.5002,272.10168,0.24303196,339.5002,272.10168,0.24303196,333.80765,259.2277,0.0,581.1746,581.1746,67157.05,60.786766,67301.21,58565.715,56224.664,0.0,0.0,56071.12,655.6816,0.0,0.0,0.0,0.0,56071.12,655.6816,54990.332,54898.234375
17,2021-01-01 16:00:00,555.25,,208.43333,33.72695,5.17833,0.2,40.164505,267.03033,54.32397,0.0,,555.25,313.59515,201.07106,0.21128939,313.59515,201.07106,0.21128939,302.38922,191.55779,0.0,484.06808,484.06808,55936.734,56.752663,55904.54,49472.61,48013.78,0.0,0.0,47905.484,667.51434,0.0,0.0,0.0,0.0,47905.484,667.51434,46944.246,46876.90625
18,2021-01-01 17:00:00,412.3,,121.46667,33.15013,5.08,0.2,27.766537,259.6798,66.95327,0.0,,412.3,244.39427,114.566376,0.1568926,244.39427,114.566376,0.1568926,225.39998,109.14589,0.0,327.85495,327.85495,37884.92,48.815166,37526.547,34274.92,33025.71,0.0,0.0,32977.43,688.94995,0.0,0.0,0.0,0.0,32977.43,688.94995,32259.133,32227.345703125
19,2021-01-01 18:00:00,224.38333,,64.56667,32.08582,3.93333,0.2,15.647054,252.54916,79.23603,0.0,,224.38333,110.66642,57.992546,0.08538463,110.66642,57.992546,0.08538463,86.57233,55.24874,0.0,138.98465,138.98465,16060.281,39.08223,15376.379,14568.129,14063.691,0.0,0.0,14055.126,698.1414,0.0,0.0,0.0,0.0,14055.126,698.1414,13585.134,13579.490234375
20,2021-01-01 19:00:00,35.58333,,28.38333,30.63947,3.32833,0.2,4.0061617,245.00685,90.0,0.0,,35.58333,0.0,23.591799,0.0135405315,0.0,23.591799,0.0135405315,0.0,22.4756,0.0,22.026087,22.026087,2545.169,31.779196,2008.1318,1959.1326,1891.8972,0.0,0.0,1891.7203,651.46106,0.0,0.0,0.0,0.0,1891.7203,651.46106,1783.5538,1783.4564208984375
21,2021-01-01 20:00:00,0.0,,0.0,29.06189,2.94208,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-01-01 21:00:00,0.0,,0.0,27.47073,2.24292,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-01-01 22:00:00,0.0,,0.0,25.87958,1.74042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-01-01 23:00:00,0.0,,0.0,24.34431,1.53792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-01-02 00:00:00,0.0,,0.0,23.14114,1.70792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-01-02 01:00:00,0.0,,0.0,21.97397,2.70042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-01-02 02:00:00,0.0,,0.0,21.2142,4.19417,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
